name,id,latitude,longitude,zipcode,rating
Urban Pads,t7J5R1LVDmTUVnFAaT2smg,40.6750714,-73.952629,11216,4.0
21 Chelsea,U3sf7qA8-a7E671H-IBhag,40.741863,-73.994888,10011,4.5
250 East Houston,aprFpdAI6vMVacnp-m--KA,40.72217,-73.98535,10002,4.5
Avalon Bowery Place,zvyX_sztgZMjJX_rh3noCA,40.724469,-73.9909079,10003,4.0
The Ludlow,z7cQ1mulPeISuBbZztTt5g,40.722111,-73.987095,10002,4.0
The Greystone,wXFwdr8uTJkFBki9GhiTCw,40.79109,-73.97347,10024,3.5
Loftey,wiY9BLG7HvwNc5YdUnvHAw,40.75121,-73.98356,10018,4.5
Post Luminaria,Fqii3H_aQHw5h0IcWf_ldg,40.737291,-73.978547,10010,4.5
The Lanthian Apartments,PJo7uXAPf_EWKBWi1qytgA,40.7433809,-73.9742625,10016,4.5
MiMA,3eBAF4AqRN_byMoGk7ILxQ,40.75918,-73.99481,10036,4.0
AVA Fort Greene,Eb6jbYK9tmTzyDkmnKBHJg,40.69408,-73.98288,11201,4.0
24 Fifth Avenue,Vle5hEnVZHx0CFZxrcvePQ,40.7331,-73.99596,10011,5.0
The Dylan,ryyDLmof-e6YiLMVUpAlyg,40.7467824,-73.9854604,10016,4.0
The Courtney House,ZKceLb9C3n6m_Gp2ODOHSg,40.7368481,-73.9952869,10011,5.0
The Dakota,f41yIVlTxw5U8U24hTiWhQ,40.77652476376047,-73.97614214323143,10023,4.0
AVA DoBro,ElOd4TDxD0oo0xUSaISZug,40.69188,-73.98483,11201,4.0
The Brooklyner Apartments,r7xK0gImtUoylWHGqlodOw,40.69269,-73.98612,11201,4.0
Historic Front Street,nUkh7vJKHK18hiLSzoeGvg,40.7072487,-74.0022583,10038,5.0
Nooklyn,AYinJ1GL9_3B70JRYUIY4A,40.72122,-73.98795,10002,4.0
APT212,ja1WPvTvXKgXoGlWCEhxGQ,40.7255554199219,-73.9979934692383,10012,4.0
Astoria Apartments,lIvOXpYEtMA7vQqy-tMVLw,40.768221,-73.8748939,11105,4.0
95 Wall,-JD15ptnneY2KoH_lt9uvA,40.70493,-74.00749,10005,3.5
200 Water Street Apartments,dtopX6iixac_WCGlgee5ug,40.7073584540655,-74.0046235101227,10038,2.0
The Churchill,p1su_IbwKC423eLdRybYEw,40.7481314,-73.9731540914811,10016,5.0
The Tate,o-lzkGWtdFyxroB4XOeb2w,40.7483893,-74.00534,10011,5.0
The BLVD Collection,_XsX8A3pjPC4txDIGjlvnw,40.72252239055711,-74.03663120286969,07310,4.5
Prism at Park Avenue South Apartments,2yY6-sdWPCQWsMWCSBVPUQ,40.743618,-73.9851303,10016,4.0
Gotham West,qC_ZSD0zd5_4stj2d20CnA,40.76213734206317,-73.99708713376164,10036,4.0
City Wide Apartments,HGHfNMckUdTa_BUwLXNYmQ,40.754718514492446,-73.99200613156358,10018,4.5
146S4,HORUVFHXnPgIV9vo58uxVg,40.7115622,-73.9620808,11211,4.0
East Village Apartments By Sudha,tQ_OXV3vTrURoUkp5HLEPA,40.725643,-73.990441,10003,5.0
AKA Central Park,XBZI0dnAxY07fFIHT6_xog,40.7650501395815,-73.9767040259338,10019,3.5
Building Equity Management,FJ2mQ5PyE0dLL2D9IUq0ng,40.7479343,-73.9885689,10001,5.0
75 Wall Street,VXJDuQhUmCBErKYqIby24w,40.705152,-74.007988,10005,4.0
SharedEasy,QBstv447M2YRQ89wFYdLtw,40.795162,-73.963674,10025,3.5
Atlas New York,NM5zIT-skXifAK7DOM1CDw,40.75197,-73.9857,10018,4.5
Murray Hill Marquis,nMn1xDC1LijZv2Vl-GpCsA,40.7459,-73.97929,10016,4.5
3333 Broadway,tyezSyhH670pbE9OJ5emKA,40.81999160507477,-73.95643084493487,10031,1.5
77 Hudson,S5kzENnYax-MJzc_uSccfg,40.7145907626185,-74.0350029983096,07302,5.0
70 Pine,AH2N2y9cWHjQD1ToPUsn5Q,40.706537,-74.007687,10270,4.0
Urban American Management,I-rRELQSL52RCO9wQHZFtg,40.7462,-73.9934323,10001,2.0
Village Dwellings,KYP4CjM1mWAhU3b_UZGlNQ,40.73386,-74.00296,10014,5.0
Barclay Tower - Glenwood,OWRv-U-fK5mgkvDNfJEY5g,40.7123599,-74.00915,10007,4.5
424 Bedford,mc90DRm5C3nkTLlambekwQ,40.709458,-73.964337,11211,5.0
The Pinnacle,_f29TM3f-ewtZbgI4lAXEw,40.71898229871188,-73.83683047340179,11375,4.5
The Albert,ebQd3YIwmpCUMGG1IP8d2g,40.73269,-73.99345,10011,4.0
The Westport,5zqypgmaLHrxvlsCBqzOfA,40.76854,-73.98955,10019,5.0
388 Bridge,cem2B42uBpT5gQC6wMdA6A,40.6917147,-73.9854865,11201,5.0
The Edge,3kX5Qj0xTCduiWB5eVQACg,40.71944,-73.96224,11211,3.5
The Modern,6FFRwiNxBCBga1WIWjTc7g,40.85272853322854,-73.96675963458847,07024,4.0
Windsor at Liberty House,P0YwkKeVxNy17DEpvHK6Yw,40.713559,-74.038973,07302,4.5
City Tower,qAxwT6f5cyCGml8XdGUQ5Q,40.6911205,-73.9823872,11201,3.5
170 Amsterdam Apartments,K4U77Zpdl_70vOehUkKkXg,40.77593,-73.98382,10023,4.0
Orion Condos,56Nox1ZWt5vWqnPV-SRKgQ,40.7578699,-73.99227,10036,5.0
20 Exchange Place Apartments,UpmVl2x5TiEbB2BxI2419w,40.7056777,-74.0094714,10005,3.0
Noonan Towers,uDqLM3TPn11a6aS6wpf2OQ,40.83074,-73.9295999,10452,5.0
Tribeca Park Luxury Apartments,iAfm2NKR9tiojt3ETlNMFg,40.7179120214338,-74.0147960186005,10282,4.5
34 Berry,607JKPkvrmyGUqtSA-o59w,40.7213263,-73.9564168,11249,4.5
Avalon Willoughby Square,-F584l0BSs9RqFxoqG9jZQ,40.6918,-73.98449,11201,3.5
Chelsmore Apartments,jHfT1osBttkL7E-clNEiag,40.73964,-73.99986,10011,4.0
INSTRATA Gramercy Apartments,PpDTiO6JVE0CjdfJTrsiqg,40.7385802,-73.9836842,10010,3.5
The Vanguard Chelsea,TMgNXkMYwXD25PqQz33hbQ,40.74358,-73.9919199,10010,4.0
66 Rockwell Apartments,G6_TfG85i9PXxTPxYvxu7A,40.6881535803479,-73.9794034564635,11217,4.0
88 Leonard,PSMwrS9B11e3iN-xBZhhbg,40.7170753,-74.004833,10013,4.0
Beatrice Apartments,N8kPmjiU2y9iPPc69K2CgQ,40.74687,-73.99032,10001,4.0
325 Kent,Kz8qKqs07GjX38qor50FMg,40.7134336,-73.9671576,11249,3.0
London Terrace,31zi_WdmXMs935D7hMNjWA,40.747519479328055,-74.00204121990714,10011,3.5
Avalon Riverview,AoyWsc2YrAqmHmZuOg416w,40.74537,-73.95807,11109,3.5
Brick & Mortar,VXyAG_bASc7Rc7bMUENyVQ,40.7183971,-73.9583791,11249,4.5
21 West End,3FYwikQxiHQns754PUJNJQ,40.7730114530623,-73.9905463489936,10069,4.0
DVORA Art House,nJR6L4r0l3h9aGNCkq-e7g,40.72159821728407,-74.0398809,07302,4.0
One Hudson Yards,AV-Fa-EGg9ggHRxFCjjQtg,40.75255,-74.00273,10001,4.5
Herald Towers,TxyN6RbnJ4bFyK4Spv4Igg,40.74916,-73.98701,10001,3.0
One North Fourth,nQDr5Q3ibS7VtVGKfgLkMg,40.7194871556471,-73.9642385270975,11249,3.5
StuyTown,u0C5pOEqhu_5kROBAGPZNQ,40.7317630018491,-73.9819652840086,10009,2.5
600 Washington Apartments,_8Vgedeziqlt59PikBrosw,40.73081,-74.00925,10014,3.5
Metropolis,HnZs7PMk0NTKatU8zWHUew,40.75218847895862,-73.9741715,10017,4.5
Sky,Uda5SoL9qky-kYS58_DABg,40.761309,-73.99881,10036,2.5
TF Cornerstone,o4wd-76S93upBzfC6HV9rg,40.6884983,-73.9835728,11201,3.5
175 Kent Apartments,KOK38Ynjt2Snbjb5pp94QA,40.7179341,-73.9634425,11249,4.0
Avalon Brooklyn Bay,CSuRSQvwkupRGQm6t5QoMA,40.58583,-73.95375,11235,3.5
180 Water Street,i0W64254EJ2y3vjsQyrfPA,40.707,-74.00554,10038,2.5
The Nicole,_sHexHm7CJ20KKcD0QTCZw,40.766552,-73.9868622,10019,4.5
Sloane Chelsea,fuUfEC0C8wsZykWnRAaG7w,40.75301,-73.99582,10001,1.0
The Eugene,vV0Xcxrjj19-RL7ko2hznA,40.75212794387309,-73.99902145981278,10001,4.0
The Markle Evangeline Residence,xBdfMBzXPyoyOue2tZN8lA,40.73725,-73.99844,10011,3.0
267 Pacific,aknyujn6MomqX1FNpg45Ow,40.68829,-73.989883,11201,5.0
Newport Jersey City Apartments,lFjLrUVsVjuGv7kptTs6cA,40.7264084,-74.0341659,07310,3.0
Estuary Apartments,46jU0Runu_9Mi9YrykQ35Q,40.763041,-74.021857,07086,3.5
110 Horatio Street,yA9EkyPsMdBnii8UZHFkXg,40.738624,-74.009432,10014,5.0
Chrystie,oZqpca-AUU21oMhkuXZoSA,40.72346,-73.9919,10002,2.0
VIA 57 West,kcaGiw83NTTz0NY4URjqww,40.7714779,-73.9930129,10019,3.5
Luxury Apartments LIC,xIZgK4jUsWxu23SUWLXIfw,40.74962,-73.93963,11101,5.0
Lenox Terrace Leasing,C2wg0_l-Vm5-BBL92J8D0A,40.813264287393,-73.941183151065,10037,2.5
Kips Bay Court,FUS9ypYBsn2FmE_GzCYGXg,40.74074,-73.97832,10016,2.5
89 Murray,ncWUS9WGXmVKOtIDqe0ZLw,40.7150983898287,-74.0115666389465,10007,4.0
Northside Piers,bUPQgdoTRazp2IkO-bpeAw,40.7182094,-73.9625549,11211,4.0
Hub,lCrmt-s2oWDRwg4F-F-Zig,40.6874817,-73.9809402,11217,3.5
The Sagamore,toJG0ut-yBcKN5hTpDOW8g,40.7898844,-73.9732544,10024,4.0
Our Lady of Good Counsel SRO,ZJKqRaCHxPsa_V5MYLT36Q,40.687461,-73.92515,11221,1.0
The Addison,fkNAj0MtdV_ED8WA-KAoyQ,40.688756,-73.9851235,11201,2.0
DKLB BKLN,FRXjGljtApLBvgr6CIUNNw,40.68978206757332,-73.9800477,11201,3.0
AKA Sutton Place,b5ToVRsaNOIKgJJjqiDojA,40.75787,-73.96457,10022,4.0
EOS,fVdo0mBsSnwpRukKEd_bVA,40.7477325,-73.9898099,10001,2.5
Icon Rental Apartments,bcSm33Uxj0vS_yqKkkIPGA,40.76106,-73.987661,10036,4.0
461 Dean Apartments,PIIGEQtVkrcdIBFSzTOwXQ,40.681981,-73.975388,11217,4.0
Mandalay on the Hudson,bJFr7DkaYoUFGzynx4sOAQ,40.721647,-74.033125,07302,4.0
Watermark LIC,AxnDfngLgCjCGUvV0js_1w,40.746896,-73.9416307,11101,5.0
Frontier Luxury Apartments,yU2hcRqObEq_4E_xRdF9NQ,40.7486415238196,-73.9755398780107,10016,4.5
Harrison Urby,cljjjqrhA5KaCo1aM_o_kQ,40.74099,-74.15966,07029,4.0
The Apartment,dg3uXghJIXBZ2ib1T6Tbhg,40.7409057617188,-74.0067901611328,10014,3.5
The Colorado,l_k8-eI5WOv9cvd0QHeQ7w,40.7787210099561,-73.9535784202378,10028,4.0
Mantena Apartments,Ygv35KqSzh30GH8jFCvBcQ,40.756128,-73.996423,10018,3.5
Kings and Queens Apartments,3jTxai8oOnjcR1iDX3FMtQ,40.729032,-73.858493,11374,1.5
Chelsea Stratus Condo,Aszx2T1dRYGm3tuZC4M4oQ,40.74401,-73.9924,10011,5.0
TOWNSEND,RLN4OifDqOG6hgeTdBAjZw,40.75493,-73.99431,10018,4.0
Halo,sN9JnJDqHwTz0oXfkgt3xQ,40.7464762,-73.9406585,11101,2.0
The Nathaniel,smb4f7Hb1rZpRU3jMg0D5Q,40.7321287,-73.9886136,10003,2.0
NYC Brooklyn Apartment & Bed and Breakfast,PofkjY84o6-HZer7QOUsuw,40.687489,-73.9764947,11217,4.0
The Lexington,hXqcQmqSBHQY5H7B2h9nHw,40.7452803,-74.0351007,07030,5.0
Skygroup,kIDXvYZiTW4W5IJVt7RqvQ,40.7168007,-74.0035172,10013,5.0
West 54th Apartments,nOVcq5BQgCDzwmPQaCwKOA,40.7675688,-73.9901193,10019,3.5
Avalon Union,r9HMY3Aa1gpa1gzsgJsPxA,40.708313,-74.27837,07083,4.5
Big Apple Living,mHz_9IQNuTI9uxtLGFGDLQ,40.746903,-73.988146,10001,3.0
60 Water Street Apartments,5U5zCdgu2AFymbYSh-LBPQ,40.71424,-74.00642,11201,2.5
Parker Towers,rDfCU524ymSfyOeSOzJwpQ,40.72326,-73.84993,11375,4.0
LeFrak City,Fv0mLmsjV0U-7gRl_7tCoQ,40.735235,-73.86418,11368,2.0
REAL New York,IXsN3lo71vG5T1-vVcKwfQ,40.7204930965878,-73.9881610125304,10002,4.5
Modera Lofts,W2zIfB-TYIIzUnGlcjN4VQ,40.720073,-74.037837,07302,3.5
777 6th Avenue Apartments,gyUGNfrD8j8KVXEn1ptVSA,40.74525,-73.9915,10001,3.5
The Caroline,ZhqPFCi5ifllWIXFsXPuUw,40.74252,-73.9923,10010,3.5
Silver Towers,YtgeRRxVlxSzwu-zGUiXVA,40.760850649317,-73.999164141759,10036,3.5
Waterline Square Luxury Rentals,tnZFytj6s73oroL3NCybwg,40.77321,-73.9907,10069,4.5
Hayden,VaNvSTKT-Ngx_7AB3I8obQ,40.7476557,-73.9426293,11101,3.0
25 Jay Street,tVkV1bRFYdtL8wlPHEr2CA,40.7041884,-73.9864537,11201,2.0
Jackson Park,Lef5nz36oXgwEioEhpV7ag,40.7485123,-73.9380978,11101,2.0
Parc East Apartments,AvXnZhvGVQl6LOKJSY28Sw,40.7402116,-73.9795594,10016,2.5
House 39,_iYWqJcPPiEKKF--lKw3_g,40.748496111821176,-73.97467749530927,10016,2.0
The Solaire,Y3JziUJWQzxoBVd0ND4JHg,40.716602,-74.016106,10282,3.5
Alexander,qgG-YWCE4Gjvo4n43tYWNQ,40.73240317932954,-73.86302823148175,11374,3.5
Cooper & Cooper Real Estate,xRwyg-n2f9jim5r2naHrIw,40.7513773,-73.9924884,10119,5.0
Highline Residential,N2knmJMBcGTfdz8qkXLE4Q,40.75043609999999,-73.9841508,10018,3.5
MetroNest,gd_WpvTPjtKfVwz4nb2VwA,40.73014,-73.994141,10003,1.0
Two Trees Management,EO7nWKTDIdIeP3xSuawvIw,40.7028816,-73.9904334,11201,2.5
Wood Vitalize,-7ZbguxWLcwcVhj71bMsrQ,40.7748107910156,-73.9590072631836,10075,5.0
Avalon Clinton,bJ1QKBMDs4znmNPfSYdLXQ,40.7663868,-73.9915846,10019,4.5
Hudson View Gardens,BqKvVdlMdU-kg843lojh6w,40.85228,-73.93893,10033,5.0
OHM,24-I4FzC-wTefOVUslTgOg,40.753013554051904,-74.00373548618725,10001,3.5
Crescent Club,0HdWu04N-D4RDNthh9d_9g,40.7514791,-73.9395537,11101,3.0
The Eagle,65Yn90Bby_WDN9LyKlNx_Q,40.69326,-73.9819,11201,2.0
Chelsea Landmark,JResV8Tq3EwSaEKIWEgkJQ,40.74427987463565,-73.9912341048367,10010,3.0
AVA High Line,It4059Wi4YGF5LRfQbfIhA,40.751483,-74.002839,10001,3.5
Longacre House Apartments,61Ga60mRj2wGSFprKlM6tg,40.76254,-73.98644,10019,3.5
The Balton,WD6ngtQQ2BaCoVHAxcbsmA,40.8119639,-73.950885,10027,3.0
The Alabama,H2qrutnPjwTcefkYrSCVCw,40.73382,-73.9943,10003,2.5
RiverHouse 11,fQNVnFF383GCtrrTsNQDMQ,40.773838,-74.012282,07086,3.5
Sanctuary Guest Suites,sUrBXFYuHfAsUnGOLb2TEw,40.720008,-73.983032,10002,4.5
The Ashley,2fNOQeR3UlV0PUIYl4ikJA,40.77469,-73.99023,10069,3.5
View 34,8oSUQCRVHGmTGHN_uBhHGg,40.7438899599956,-73.9727316640505,10016,2.0
Home New York,2JpxGpTOCnu2jxls6gLm9Q,40.706496,-74.009113,10005,5.0
BKLYN AIR,-3FkGNadBdlXZrpy6CG7NQ,40.6951294,-73.9830704,11201,3.0
Bayside Bay Club,DXKFxXzCyFFJaVN_mxcuVA,40.77848,-73.7822599,11360,3.0
180 Montague Apartments,f7_rF6FeAkiwHyEiU0OshA,40.6939717,-73.9917525,11201,3.5
Instrata Brooklyn Heights,ofDSFr7nCiNIkFmi-XN86g,40.6938581409959,-73.9922976493835,11201,1.0
111 Worth Street Apartments,vireTADkp8boPQfl86cPyA,40.7158423215151,-74.0034777671099,10013,3.0
The Amberly Apartments,SMwRc4b-DPB3bnwL7z-3zw,40.6983158,-73.9861812,11201,3.5
Parkchester South Condominium,-4rv1VDw-7hMOtpkygdOaw,40.841425,-73.860152,10462,1.5
Zeckendorf Towers,-zdn6319EH_Ovw1j6JYmHQ,40.73405,-73.98892,10003,3.0
George Washington Apts,AmrwCCyFVWsRp8KP4kx1HQ,40.727073,-73.847434,11375,4.5
Leonard Pointe,Er8-BmVR7Cyio1rihqcnrw,40.71816,-73.9485,11211,5.0
New York by Gehry,jccU5Cmyb3LkVRMLg3kUkw,40.71073331248368,-74.0057855139505,10038,2.5
BKLYN  Gold,6ie2SiEzmtgC-ac5Dsm4LQ,40.69629,-73.98274,11201,2.5
2222 Jackson,5fDl1u5ddfVfdOpR9hY9Mw,40.744953,-73.946495,11101,5.0
AVE Union,j5d_4x-VMrR5wBjcPwpl9Q,40.6832838,-74.2374559,07083,3.5
Parkside Brooklyn,0OsJ_RW-J-mHrliCmUiyhg,40.6535993,-73.9643222,11226,2.5
NY Casa Group,FxRSB0vdBbgZH1lEtDIzIA,40.7023659,-73.9888,11201,4.5
The Capitol,p_Tcqa5OomEnv9XDMW9vNQ,40.7449785,-73.9910454,10001,3.5
Triplemint - New York,gG3ikXZb5W3D0xvw5z_ruQ,40.73892,-73.99257,10011,4.5
Tribeca House - 50 Murray,7R66OyjseU8y3LPKYyBoJw,40.713914,-74.009647,10007,3.0
420 Kent,Onh9M_3EOu6-ddy5Wrym4w,40.70993642079641,-73.96860741375369,11249,1.5
Mercer Arms,USIYdrCvwHfpAdqAo0-ESQ,40.71824,-74.04476,07302,5.0
Park + Garden,cC8yh8lByKftq8GHDLD-og,40.75445,-74.0282299,07030,4.5
One Carnegie Hill,mTO9R6TS-W_I7r9xOUHvcQ,40.7851883,-73.947418,10128,3.5
15 Park Row,yo8fhACnrRynCzXHJgDqlg,40.71134,-74.0079,10038,1.0
Parc Cameron Apartments,y3JHfOuVvoyGG5TIaV4mCA,40.7859464,-73.9741874,10024,4.0
Boulevard Gardens,-8URCOxEVqYc3vtCv0XABw,40.75992,-73.879757,11377,4.0
22 River Terrace,2JIJgLh85mwtIZkDh61Dqw,40.717487,-74.015813,10282,2.5
960 Willoughby Ave,m8_qCYMPB1BgJg0BW01faQ,40.697948,-73.930181,11221,4.5
Savoy Park Apartments,P_o_QMxb9vod7PqsxjPu8g,40.81659,-73.93733,10037,2.5
Kings & Queens Apartments,JtbArzvUhhK5phSZ2OFXQA,40.587506,-73.955865,11235,2.0
The Duchess,Pg6jksysH3jfSys3ZL40Ww,40.795299,-73.997641,07047,3.5
Lenox,bD08bjKnoAnjodrPjivSiQ,40.71478,-74.04184,07302,4.0
Nolita Group,oWFyt4mQsiHF3iNT-8wD0A,40.7208772,-73.9961678,10012,5.0
The Webster Apartments,2RKd-mzfBAaQ4QWbONbfhA,40.7538191,-73.9969614,10001,3.5
Melar,IIC6FP-RCa3RS6ZKSj1HDg,40.79282,-73.97368,10025,4.0
The Maximilian,Zf4yHMLTgP6Un5bP4RjQuw,40.74128,-73.95639,11101,4.0
Denizen Bshwk,6E3xrpTnlL5om3pkTRg99A,40.700488,-73.9337622,11206,2.0
The Archive,92lNn8sitqKezikVKf1osQ,40.7322566123729,-74.0079842550414,10014,1.5
The Adele,IXATyOnlUvBF_0QXT0EbVg,40.72024,-73.97895,10009,3.0
235 Grand,8drSOscKn0hin7NGu5_ExQ,40.715923,-74.04484,07302,5.0
Troy Towers,yGdCnNht1lPp1UpWwDEKKQ,40.761104,-74.02848,07087,5.0
Tower 28,U0HmaYOJyyjPog6M2MZXwg,40.74942110621478,-73.93967915926176,11101,2.5
Jersey City Urby,QucmvoiDPIGZ_4Fp2FrWzg,40.720188,-74.034312,07311,3.5
Roomrs,OzUhWOdjG3_YmzHfMO3FfQ,40.718217,-73.9585565,11249,4.0
Gateway,phIbNHfPv38UR--MbiDtBA,40.712019,-74.017261,10280,3.0
Staten Island Urby,zCDRygfCJuRuDmswq9wABw,40.628903,-74.074141,10304,3.5
Vantage Collection,c35EryVx_Qwv7zw1D6-H_Q,40.713728,-74.0446583,07302,4.0
21 West,r0KOs9Wt_IklQMzUL87PlQ,40.70643069822024,-74.01559218956662,10006,3.5
184 Kent Avenue Apartments,JNFHkPMOjcE8daNWS3s96A,40.71886507541004,-73.96439042892536,11211,2.5
ARO,uc_WtqdI6gmWeDeokpg1kg,40.7637179870178,-73.9839917798861,10019,2.5
Ten23 Apartments,tZzr_NhsqUJaooRE-byCDA,40.7475705,-74.0047154,10011,4.5
Nooklyn,O7WxV_VMXnE8--Fzk7mQiQ,40.722468,-73.949749,11222,4.5
Windsor Court,TNYbGnHmOmLhX33PW29xwQ,40.7443751,-73.9804654,10016,2.0
The Exo,SOzjNxhGAuAovuCZqsRNMA,40.7726018,-73.9259949,11102,3.0
QLIC,UY5m_0YewkWP3VZAdskBIg,40.7517642,-73.9408812,11101,2.5
W Residence,bEI6aKLRbE7R8rHjeVle8A,40.7091598510742,-74.0137100219727,10006,3.5
Instrata Park Slope,NeeWXy05WbMirWrHtp4dgg,40.679876,-73.9816554,11217,3.0
The Morgan at Provost Square,GxeynAp6Fcyv_n0rt57Smw,40.72023113428616,-74.040584,07302,2.5
303 East 83rd Apartments,tx2zalnoq48kjxregOHkVg,40.776092,-73.952668,10028,3.0
Liberty Plaza - Glenwood,si-JiMT5UwCugoDCT7Q6nw,40.707363,-74.008193,10005,3.5
Flatbush Rentals,DjotwhEU57DE3FmP5NuDWA,40.634834,-73.950256,11210,2.5
Duffield Apartments,7vIk-GoJocE3iN3c34RrqQ,40.6966382,-73.9842613,11201,4.0
Artisan Series,ao6PNBqkYilzoswS0r3qEw,40.7511392,-74.0346298,07030,5.0
The Chelsea Apartments,OgnAEF87Wr-JV5t8myyDcA,40.7444883,-73.9949465,10011,3.5
The Offerman House,spdCfjlINTDA0M0eFdpBYg,40.69112,-73.98451,11201,3.5
The Kestrel,2Y6tTrjkd-uxMtqv6oAqnw,40.6491976188815,-73.9741635074097,11218,3.0
Atelier Apartments,UaYF8Y9HvbYfKdDZg1mvmQ,40.71736172995749,-73.9537837,11211,4.0
116 John Street,F55QhXNqejDotcAWkIdOLw,40.707484,-74.005819,10038,2.0
The Epic,mMnW2jQPZRbno6SrGcrzMg,40.74851,-73.99039,10001,3.0
Common Living,SCYo5CyoZgARxSeq-LyyVw,40.7535575,-73.9781361,10017,3.0
Smith Hanten Properties,rECvJqXDh0hihgUnjTu0ZQ,40.6865968,-73.990866,11201,5.0
Parc Coliseum Apartments,l1pptOCNd6UXvwNEiTZyEQ,40.77841,-73.98352,10023,4.0
15 William NY,CRSroSi_ULyu9hgcOhFLiA,40.705264,-74.010347,10005,5.0
Hoyt & Horn,ghcZ3qMic2_lwHa-K1ekaQ,40.68921,-73.98563,11201,1.5
Dean C Hawthorne - Concord,ozF_F51ZducweE7DO3vdmw,40.6965425210609,-73.987147808075,11201,4.5
New York Living Solutions,zJSoKjBNryZWWG24LD23CA,40.70791,-74.0065,10038,4.5
Westminster City Living,rno2lYAwrk-8jLiZZYz3kQ,40.7288309,-73.9809198,10009,1.5
Level,XIAd3EQD9PQ8qUr3jububw,40.72086,-73.963308,11249,2.5
The Zenith at Liberty Harbor,D1Fpx43hak-390yGiyZqCQ,40.7151451,-74.0465469,07302,5.0
River Watch,I5Dutj8nP49nAzFO6OaV3Q,40.707302,-74.0177,10280,3.0
The Strathmore,uch_wrcRCAFBZAiUtFGx6Q,40.775355,-73.9501957,10028,3.0
Court House Apartments Leasing,VmHRcMXYPhnClAa9MtVfVQ,40.6896854192019,-73.992201089859,11201,4.0
Mariner's Landing,QGQm3UtfwafqJse8AAcmQg,40.822195,-73.9752894,07020,4.0
The Lively,g8JXwmd38zFSIWCPBJH7eQ,40.71921,-74.03882,07302,4.0
Parc 77 Apartments,DWHEoq4Lr8TuKSW7dDvcYg,40.7859464,-73.9741874,10024,3.5
15 Dunham Place,CkRMumvNLvlu0JwqjiMCfw,40.7109278440475,-73.9675140380859,11211,3.0
Wavecrest Gardens,y6483hbj67w61N4dPdJArA,40.595751,-73.755001,11691,3.0
The Chocolate Factory,eXiBPXHyQyPj78OKYPYQMg,40.69612,-73.96814,11205,1.0
101 Bedford,teRKTXCqa_zzwzmY86J5Jw,40.7202946,-73.9544731,11211,2.5
Bay One,rmo3MzaY6X2cmePUy2fZrA,40.6805658,-74.1044056,07002,5.0
Park Towers South,hEobY9bW66IDvhPGDgfrxw,40.7677573923668,-73.9833589844931,10019,3.0
Hoboken South Waterfront,3PHqcmkGoskZAmcgZKTZ8Q,40.74083,-74.02748,07030,5.0
AVE Clifton,QBivufnWaoow8gkFoWIDSQ,40.8363061,-74.1454969,07012,5.0
Beach Haven Apts #5 & #6,_TldMNkbLuiXf7IXaWObYg,40.5859932303429,-73.9725941419601,11223,3.0
Chelsea Tower,Sy-K1YGH6QdoE3Za9V7Euw,40.7448276132345,-73.9916069805622,10001,5.0
St Agnes Residence,Gat0BnEinyoa3XTcqbzx9w,40.7808723449707,-73.9823379516602,10023,1.0
Warren at York by Windsor,ad2Gmm-CsdTctDi6Glr-wA,40.71637,-74.03862,07302,5.0
