Urban Pads,1.644532236494346e-07
21 Chelsea,1.507322805031711e-07
250 East Houston,1.5465709716486524e-07
The Ludlow,1.5470996060992e-07
Avalon Bowery Place,1.5429302840034868e-07
The Greystone,1.4064342939433724e-07
Loftey,1.485772019142716e-07
Post Luminaria,1.5131609158902884e-07
The Lanthian Apartments,1.4996737669786435e-07
MiMA,1.4722186194614064e-07
The Dylan,1.49516409631829e-07
24 Fifth Avenue,1.525799493181566e-07
AVA Fort Greene,1.607989086444624e-07
The Courtney House,1.5178073563426155e-07
The Dakota,1.4344503838819515e-07
The Brooklyner Apartments,1.611937152923162e-07
95 Wall,1.5894950544848402e-07
AVA DoBro,1.6134730659883341e-07
Astoria Apartments,1.4391366905237082e-07
Historic Front Street,1.5830756453482232e-07
APT212,1.542234782594021e-07
The Tate,1.4962497297563203e-07
Urban American Management,1.4980992328623485e-07
77 Hudson,1.574835375513417e-07
Gotham West,1.466832992499063e-07
200 Water Street Apartments,1.5833981207410247e-07
3333 Broadway,1.3510350254509906e-07
Prism at Park Avenue South Apartments,1.5015591267922472e-07
East Village Apartments By Sudha,1.540319210913577e-07
The Churchill,1.489758699618497e-07
SharedEasy,1.39697626458905e-07
City Wide Apartments,1.4805360478762923e-07
Murray Hill Marquis,1.4956195561366112e-07
Nooklyn,1.5492093963145536e-07
146S4,1.5641675455196177e-07
Atlas New York,1.4847029496303452e-07
70 Pine,1.585960371102476e-07
Building Equity Management,1.493499105604399e-07
The BLVD Collection,1.557933219470835e-07
AKA Central Park,1.4567938878108285e-07
75 Wall Street,1.5891196634274606e-07
Village Dwellings,1.5257857619131846e-07
Barclay Tower - Glenwood,1.573428792101769e-07
424 Bedford,1.5692877383615266e-07
The Modern,1.2973121129680933e-07
Windsor at Liberty House,1.5781176359099558e-07
The Pinnacle,1.543788250599924e-07
The Albert,1.5260948266565372e-07
City Tower,1.6146154376189637e-07
Herald Towers,1.490669544143905e-07
Tribeca Park Luxury Apartments,1.5626162690771496e-07
The Edge,1.547168190722401e-07
388 Bridge,1.614010043739419e-07
Beatrice Apartments,1.4960495821084117e-07
34 Berry,1.5418195772490758e-07
Noonan Towers,1.3275922365915047e-07
Orion Condos,1.4742862235688322e-07
66 Rockwell Apartments,1.6206907121004828e-07
170 Amsterdam Apartments,1.4371649736617752e-07
DVORA Art House,1.5607514352869606e-07
88 Leonard,1.5620943897384042e-07
The Vanguard Chelsea,1.5031337106849344e-07
Avalon Willoughby Square,1.6135732788329544e-07
Chelsmore Apartments,1.5130240184675368e-07
INSTRATA Gramercy Apartments,1.5116200787349461e-07
21 West End,1.4441809454220044e-07
London Terrace,1.4972968956258013e-07
One Hudson Yards,1.487230046597811e-07
20 Exchange Place Apartments,1.5883045311679965e-07
Sky,1.468843769764658e-07
One North Fourth,1.5475201073394493e-07
Brick & Mortar,1.5485315730316482e-07
Avalon Riverview,1.4921196696859513e-07
175 Kent Apartments,1.5506766683664893e-07
The Westport,1.452659394637328e-07
StuyTown,1.525456291507696e-07
The Nicole,1.4559808001029892e-07
TF Cornerstone,1.6209172695122698e-07
180 Water Street,1.5844144563867373e-07
Metropolis,1.4817882114547024e-07
600 Washington Apartments,1.5336489537972086e-07
Avalon Brooklyn Bay,1.876522342401723e-07
325 Kent,1.5612610704975842e-07
110 Horatio Street,1.5172858559323228e-07
89 Murray,1.567994931802401e-07
VIA 57 West,1.4476651549504026e-07
The Markle Evangeline Residence,1.5176747832670632e-07
Northside Piers,1.549882601047519e-07
Estuary Apartments,1.4704100334401622e-07
267 Pacific,1.6229421448571976e-07
The Eugene,1.4872724398954535e-07
Kips Bay Court,1.5059817037523315e-07
Luxury Apartments LIC,1.47962643970465e-07
Chrystie,1.5453155162982645e-07
Our Lady of Good Counsel SRO,1.6092644063681547e-07
The Addison,1.6207035991176572e-07
Lenox Terrace Leasing,1.360044742502516e-07
Newport Jersey City Apartments,1.5489433905209165e-07
Hub,1.622612971666048e-07
Watermark LIC,1.4855307031455136e-07
The Sagamore,1.4086354941640718e-07
Halo,1.486171829694423e-07
EOS,1.4941808737282726e-07
Frontier Luxury Apartments,1.489239056062183e-07
AKA Sutton Place,1.4684074504992675e-07
461 Dean Apartments,1.6339820398379779e-07
DKLB BKLN,1.6171098298140085e-07
Icon Rental Apartments,1.466962765430838e-07
Sloane Chelsea,1.4847966932084153e-07
Harrison Urby,1.5547498969177784e-07
The Apartment,1.5119536952190802e-07
Mandalay on the Hudson,1.5589572051130577e-07
Mantena Apartments,1.4786596004668186e-07
The Colorado,1.4257049324230084e-07
Kings and Queens Apartments,1.5198808937815998e-07
Chelsea Stratus Condo,1.502356791876243e-07
TOWNSEND,1.480607822444283e-07
West 54th Apartments,1.4546756654114235e-07
The Nathaniel,1.5261828122975373e-07
NYC Brooklyn Apartment & Bed and Breakfast,1.6215076788638386e-07
Big Apple Living,1.4955063222567782e-07
The Lexington,1.5094445194026682e-07
The Solaire,1.5657801145840526e-07
REAL New York,1.550821276758121e-07
60 Water Street Apartments,1.5686561559321598e-07
Modera Lofts,1.563552827518593e-07
Skygroup,1.5623821767027387e-07
777 6th Avenue Apartments,1.499617724984364e-07
LeFrak City,1.5062936107658854e-07
Silver Towers,1.4698294477197185e-07
22 River Terrace,1.5637809218992137e-07
The Caroline,1.5053969250847265e-07
Waterline Square Luxury Rentals,1.44382889645508e-07
Two Trees Management,1.5899732035634655e-07
MetroNest,1.531622798209298e-07
Parker Towers,1.5330807958378012e-07
Highline Residential,1.48746347050999e-07
Hayden,1.4842102695560882e-07
Parc East Apartments,1.5073422232613446e-07
Longacre House Apartments,1.4637779043919658e-07
Home New York,1.5863947747092129e-07
House 39,1.4893479142877982e-07
Wood Vitalize,1.4342511444977412e-07
Jackson Park,1.4815309323085384e-07
25 Jay Street,1.586107704139454e-07
Alexander,1.5123041300098865e-07
BKLYN AIR,1.605653021537119e-07
The Eagle,1.6096169497250225e-07
Chelsea Landmark,1.501546466601239e-07
Avalon Clinton,1.4572977397246454e-07
Hudson View Gardens,1.293213980536821e-07
OHM,1.4865131466268652e-07
The Balton,1.3641556223572908e-07
Crescent Club,1.4758877665812802e-07
Cooper & Cooper Real Estate,1.4873711402077892e-07
Sanctuary Guest Suites,1.5506857255076672e-07
Instrata Brooklyn Heights,1.61078101293266e-07
Avalon Union,1.670945873988055e-07
The Alabama,1.523914890882952e-07
180 Montague Apartments,1.6103889537486473e-07
NY Casa Group,1.5907333345678015e-07
RiverHouse 11,1.4471267289176733e-07
AVA High Line,1.4894126472320252e-07
The Ashley,1.440874513301868e-07
View 34,1.498299599856677e-07
Bayside Bay Club,1.4293909975960863e-07
The Amberly Apartments,1.599197066954302e-07
Park + Garden,1.489088182824268e-07
15 Park Row,1.5753763116227648e-07
111 Worth Street Apartments,1.56446036309177e-07
Leonard Pointe,1.546813728248984e-07
Parkchester South Condominium,1.3088890986429054e-07
BKLYN  Gold,1.602945299766893e-07
2222 Jackson,1.490496228324709e-07
George Washington Apts,1.5253100105490654e-07
Parkside Brooklyn,1.6992141692307848e-07
Zeckendorf Towers,1.5222230192242608e-07
Tribeca House - 50 Murray,1.5701344776361265e-07
New York by Gehry,1.5762095496822745e-07
The Maximilian,1.5000999539314035e-07
The Capitol,1.5000735524488344e-07
420 Kent,1.5692280142596506e-07
AVE Union,1.7158521187513926e-07
Nolita Group,1.551845830821745e-07
Parc Cameron Apartments,1.4161883545107668e-07
Lenox,1.5761564535580382e-07
One Carnegie Hill,1.4123001692586546e-07
Denizen Bshwk,1.5819964760420897e-07
Melar,1.4032650695868472e-07
Mercer Arms,1.569300238795671e-07
The Archive,1.5303035561639226e-07
Savoy Park Apartments,1.3534729678506083e-07
21 West,1.588099864607526e-07
Boulevard Gardens,1.4547671919987462e-07
Nooklyn,1.5378964650082754e-07
Vantage Collection,1.5791958529040493e-07
Jersey City Urby,1.5624187473781683e-07
960 Willoughby Ave,1.5868136080361184e-07
Instrata Park Slope,1.6404524787405937e-07
Gateway,1.5761085665522734e-07
The Adele,1.5492540124776195e-07
Roomrs,1.548958480030912e-07
The Webster Apartments,1.483413168100643e-07
The Exo,1.4318581658709533e-07
Windsor Court,1.4989882990687307e-07
W Residence,1.5815809699205336e-07
Troy Towers,1.4757721669021625e-07
Tower 28,1.480035833359801e-07
235 Grand,1.5744037842677e-07
Artisan Series,1.4973093307603452e-07
The Duchess,1.4034371109429183e-07
184 Kent Avenue Apartments,1.548890185720231e-07
Atelier Apartments,1.5497197767036029e-07
Ten23 Apartments,1.4977830870889578e-07
Staten Island Urby,1.7939378216794146e-07
The Morgan at Provost Square,1.563900186826205e-07
303 East 83rd Apartments,1.4305236615846362e-07
ARO,1.460938127312593e-07
116 John Street,1.5834064842631695e-07
QLIC,1.4755969941065573e-07
Flatbush Rentals,1.7427056004250293e-07
River Watch,1.586665265450509e-07
The Chelsea Apartments,1.5019362214614194e-07
Triplemint - New York,1.512894268212201e-07
Duffield Apartments,1.602523480897872e-07
Liberty Plaza - Glenwood,1.5842453368859773e-07
The Strathmore,1.431434769592589e-07
Westminster City Living,1.531397158389424e-07
The Offerman House,1.6151325034199512e-07
The Kestrel,1.7127244998657537e-07
Parc Coliseum Apartments,1.4323536255162755e-07
The Epic,1.492726255163362e-07
Common Living,1.479884900158372e-07
The Lively,1.565680829212531e-07
Hoyt & Horn,1.6197838298797947e-07
WGD,1.611230076738911e-07
Level,1.5443683875886975e-07
AVE Clifton,1.364779991664496e-07
15 William NY,1.5894388957012733e-07
101 Bedford,1.5435871492008735e-07
Hoboken South Waterfront,1.5168556938445364e-07
Mariner's Landing,1.3506849421433027e-07
Smith Hanten Properties,1.6270942856033873e-07
The Zenith at Liberty Harbor,1.5765504126602833e-07
Bay One,1.6734009331070437e-07
Park Towers South,1.4528889740202e-07
New York Living Solutions,1.5826245524090406e-07
15 Dunham Place,1.5668057191060304e-07
Court House Apartments Leasing,1.620304653903533e-07
Warren at York by Windsor,1.5718424418726117e-07
Parc 77 Apartments,1.4161883545107668e-07
The Chocolate Factory,1.599829985850615e-07
Wavecrest Gardens,1.8594770273161843e-07
Dean C Hawthorne - Concord,1.6034333725633202e-07
Union Square Apartments,1.5235507340032698e-07
Osprey Cove Apartments,1.4202489722598934e-07
Chelsea Tower,1.5005060151670726e-07
One Columbus Place,1.4505886922887712e-07
Beach Haven Apts #5 & #6,1.881733036216494e-07
300 East 39th Apartments,1.4908547142011612e-07
10 Hanover Square,1.5908924221544488e-07
The Corner,1.4314019376601468e-07
St Agnes Residence,1.4274198156399681e-07
90W,1.5843534747321506e-07
NYC Short Lease,1.4865403422679455e-07
49 West Twelfth Tenants,1.520472207571595e-07
Quinn,1.5775158236399728e-07
Albert Apartment Corporation,1.5260144560721627e-07
Harrison Station Apartments,1.5553555343380384e-07
Showcase Realty NYC,1.5465499054653075e-07
The Monterey,1.412044148507458e-07
Broadway Kitchens & Baths,1.5114560630606513e-07
Vanderbilt Condominium,1.4872669000483015e-07
The Helena,1.448755127137909e-07
Renaissance,1.5828454156515745e-07
Furnished Apartments,1.4580672522282434e-07
333 Grand,1.5743445187649132e-07
Tribeca Pointe,1.562909024814373e-07
Caroline Sinno Photography,1.5831264098374866e-07
Canal Rubber Supl,1.5544610532442663e-07
568 Union Ave,1.5483754648496876e-07
The Gotham Apartments,1.5713146810514539e-07
30 Lincoln Plaza,1.4471741311498144e-07
Manhattan Park,1.4504762436027308e-07
Vermella Harrison,1.5658487985054862e-07
Kings & Queens Apartments,1.8723598385769864e-07
Greenwich Club Residences,1.5845462258783348e-07
Innovation Shades,1.5517734774635115e-07
Moda Upgraded Living,1.577637189731436e-07
Crystal Point,1.5591847605528472e-07
Moda Realty,1.2329765129166018e-07
The Grand Tier Luxury Apartments - Glenwood,1.4434598175195183e-07
Cityspire Condo,1.458917021458084e-07
The Westminster,1.5079531011686236e-07
Crystal Glass & Mirror,1.6371157096388507e-07
DVORA Hamilton House,1.5468650289816677e-07
Brown Harris Stevens - Cobble Hill,1.6224700608543336e-07
The Ashland,1.6216748635678485e-07
The Parkline,1.6876509418600715e-07
Mercedes House,1.4546728894604506e-07
Upper East Side Apartments,1.4646785082161963e-07
295J,1.5864587740091497e-07
Liberty Realty,1.5169993309478154e-07
Journal Squared,1.5424051517880384e-07
Halletts Point,1.4317048989917064e-07
535 W 43rd Street Apartments,1.4686816047464874e-07
111 Kent,1.545007975738695e-07
NY Living Solutions,1.5462991167417565e-07
Helmsley Medical Tower,1.4509742957570194e-07
The Visionaire,1.587113544905844e-07
The Victory,1.4721535185274178e-07
Stonehenge NYC,1.462301919127229e-07
Parkhill City,1.577847503420631e-07
be@schermerhorn,1.619253807755158e-07
Manocherian Bros,1.4628041632567653e-07
The Thread,1.4563724863683595e-07
Carpet Time,1.466136245288641e-07
1 QPS by Stonehenge,1.4782229580215754e-07
70 Greene Apartments,1.5746975361518647e-07
North Park Apts,1.3960615155287344e-07
Grand Adams Apartments,1.518252122380838e-07
EHS St. George Towers Residence,1.602373823830109e-07
46th and Lexington,1.4807775095868304e-07
Chinese Movers,1.8198434733268726e-07
MySpace NYC,1.648240891337669e-07
Fordham Terrace,1.2695822436374015e-07
Riverton Square,1.358015585890591e-07
The Landings at Port Imperial Apartments,1.425263326296915e-07
The Marlowe - Glenwood,1.4311878346487697e-07
East River Place Park,1.4486989654204144e-07
The Mayfair - 145 Fourth Avenue,1.5231058385814482e-07
Avalon Cove,1.556575620038466e-07
The Grand,1.2995089683931446e-07
The Grove,1.507691473568861e-07
EHS New Yorker Residence,1.4849075491759146e-07
740 Park Avenue,1.4430891392110256e-07
Devonshire House,1.526744876487236e-07
The Delmar,1.477270045295625e-07
The Doric Apartments,1.496029802851079e-07
Donald Lai - The Corcoran Group,1.554741107382986e-07
Avalon North Bergen,1.4196433021603588e-07
Hamilton Square,1.5483128828860022e-07
Hudson Harbour Condominiums,1.3272525956037032e-07
Wall Patch,1.6493646249237122e-07
Waterside Plaza,1.5106086591101596e-07
66 Pearl,1.5939235017692348e-07
Shorecrest Towers,1.9051084809669094e-07
Nooklyn,1.6512521832004406e-07
The Lucerne - Glenwood,1.4379511527217214e-07
Hudson Crossing Apartments,1.479600981677061e-07
Yoreevo,1.5157168905982553e-07
The Arthur,1.4984601840658449e-07
TF Cornerstone,1.490799769591703e-07
25 Broad at the Exchange,1.587854170362745e-07
C+C Apartment Management,1.3798846880753658e-07
Fast Tech Pros,1.5741346171699056e-07
The Pierre Apartments,1.254913213578354e-07
The Capstone,1.42912788709681e-07
The Lyric,1.401600884814625e-07
Hylan Dartmouth Staten Island Apartments,1.8599838756845042e-07
VYV,1.5547613158493057e-07
The Drake,1.5118081182319356e-07
Hahne & Co,1.559034694040271e-07
NYCMedHousing,1.6177543341482813e-07
Avalon West Chelsea,1.4882951452309197e-07
Kips Bay Towers,1.500319648522556e-07
Zen Space Makers,1.7028940055822152e-07
15 Central Park West,1.4485291577469733e-07
GoGo Furniture,1.618010314124663e-07
The Sierra,1.5147945485266318e-07
Normandie Court,1.413773774409598e-07
AKA Times Square,1.4746649619021555e-07
Janovic Paint and Decorating Center,1.5469152297487614e-07
221 Bergen,1.550387157628404e-07
The Ritz Plaza,1.4671568832447096e-07
Manhattan Apartments,1.4306166582716575e-07
The Silverstein Collection,1.5303498658413623e-07
Hudson Tea Building,1.4875107834185201e-07
Homepolish,1.503715078617794e-07
323 PINE,1.582415617680222e-07
truffles,1.5489729322748136e-07
VINE Apartments,1.5019273772566657e-07
Rivercross,1.4582063514146434e-07
Crosstown Management,1.5194567269479236e-07
Spaces Fort Greene,1.6220839216066374e-07
63 Wall Street Apartments,1.5878416659138948e-07
Plaza 400,1.469631652783383e-07
Equity Residential,1.5336489537972086e-07
The Nevins Condominiums,1.622975241298746e-07
River Place,1.468883357327382e-07
30 Park Ave,1.4910612765504496e-07
100 Maiden Lane Apartments,1.5854446089490468e-07
Rutherford Station Apartments,1.3636755454214187e-07
7W21,1.5083971292916476e-07
The Braswell Team at Compass,1.5100982181182498e-07
OpusArts Painting & Design,1.764052492392139e-07
The Atelier Condo,1.4684482325859128e-07
90 West Street,1.591990451718675e-07
Elika Real Estate,1.5349980444502663e-07
Furnished Habitat,1.4924713086895007e-07
Frank Galeano Real Estate,1.6353476448558483e-07
NY City Blinds,1.4403952165671875e-07
Residence Hall,1.740470124302415e-07
One Third Ave,1.5242750801371146e-07
515 Ovington Ave,1.7678679214891442e-07
The Bristol - Glenwood,1.4678432960519702e-07
Dermot,1.4678035288059065e-07
Monterey at Lex,1.410656867228034e-07
Organized by A,1.461103756322097e-07
Novo417,1.5456569434481593e-07
The Oosten,1.5698832988071924e-07
33 Gold Street,1.5804174112672724e-07
Grove Pointe,1.565170946059649e-07
163 Washington Ave Apartments,1.6043947071361817e-07
Columbus Square,1.3999824408591677e-07
Ocean Luxury Apartments,1.5916391375295078e-07
Brown Harris Stevens - Brooklyn Heights,1.6087204909669885e-07
The Corinthian Apartments,1.4934947953254662e-07
Modern Spaces-Astoria,1.4439791125054405e-07
555 Ten,1.4733693198611883e-07
Gramercy House,1.5146520742068915e-07
Gypsy Housing,1.576713317697041e-07
Summit NYC,1.482803555852082e-07
Artistic Stone,1.6736071739555305e-07
Silk Bldg Condo,1.535926889631411e-07
Flushing Commons,1.4592998267316572e-07
Portside Towers Apartments,1.581915934742246e-07
Symphony House,1.456201879945876e-07
Dixon Mills,1.5651229294821873e-07
NYC Floor Pro,1.4851643597322936e-07
The Oakman,1.560958060077742e-07
Tudor Realty Services,1.513584950595959e-07
New York Tower,1.4915284786807797e-07
TLF Realty Group,1.2626575333908185e-07
Welcome Home Real Estate,1.48059430688003e-07
Management Co Babad,1.5294274162550086e-07
The Harper at Harmon Meadow,1.4237234705619803e-07
Harbor Landing at Garvies Point,1.293486744475751e-07
LaMatto Properties,1.5479925688863458e-07
Slate NYC,1.5146283749769314e-07
80 Meserole Street,1.569062156080446e-07
The Wellesley,1.4447012089706926e-07
Harbor 1500,1.4741844053908288e-07
Riviera Electric,1.728690529912945e-07
Leon Cato Photography,1.4972896905164947e-07
RiversEdge at Port Imperial,1.4499145267613752e-07
200W60,1.4474874451949777e-07
AKA United Nations,1.4804297552432614e-07
BRG Talbot,1.564778361196234e-07
The Andover Luxury Apartments - Glenwood,1.426240663073246e-07
Lumen Home Designs,1.4671182875811215e-07
The Villas,1.6724714352487014e-07
The Octagon,1.4424140855150357e-07
Rennit NYC,1.5883357351660247e-07
Horizon Realty,1.458432473110411e-07
"MCKB, Manhattan Center for Kitchen and Bath",1.5020975590684166e-07
Wall Empire,1.4971388111224243e-07
Van Dyke Houses,1.6634187812757603e-07
The Milan Apartments,1.5047560406323016e-07
1871 House,1.4564409836229737e-07
3rd Space,1.5792929535428256e-07
Grymes Hills Apts,1.8248524474186967e-07
Mirador Real Estate,1.5232676439055538e-07
Skyline Apartments NYC,1.495436756284797e-07
150 Clermont Ave,1.6062839991157216e-07
East Gate Apartments of Nutley,1.4167408203619222e-07
The Tempo Apartments,1.4297606783880217e-07
31 Ocean Parkway,1.71124205297827e-07
One Madison Park,1.5086140661835685e-07
Steel Works Apartments,1.5644616704640636e-07
Related Companies,1.4851782521655414e-07
Linden Plaza Apartment,1.6439975205688103e-07
K&R Realty Management,1.3757729096470947e-07
Brooklyn Equities 11,1.6076232520461508e-07
The Wyoming - WAM Partners,1.46000096241116e-07
Locksmith Brooklyn-4-U,1.5582115562614323e-07
Ellipse Apartments,1.538406405785954e-07
TF Cornerstone,1.4821110767086436e-07
Oxford Property Group,1.486491686364907e-07
Avalon Morningside Park,1.383499050607532e-07
Hillel Realty Group,1.5780690619427014e-07
All Points Real Estate,1.61621592819446e-07
20 Pine Street,1.5841659655776508e-07
American Copper Buildings,1.496963258268254e-07
333 River Street Apts,1.5168556938445364e-07
Constantine Village,1.6985876831672594e-07
Rocket Factory Lofts,1.5636816398339585e-07
55 Hope,1.558741109837149e-07
Tribeca Tower Luxury Apartments,1.565496198509025e-07
Harbor Pointe,1.694728547964203e-07
Flatbush Gardens,1.7320633110423998e-07
KJD AV Design,1.5983230808301746e-07
Beaudoin Realty,1.4747382499155091e-07
Universal Realty Group,1.533127052261865e-07
OfficeOps,1.5704754840412254e-07
Lindsay Park Housing Corporation,1.5728047875397018e-07
Heatherwood Luxury Rentals,1.4244027134270045e-07
1209 Dekalb Apartments,1.5912803347915802e-07
Foundry Lofts,1.592276725920115e-07
Independence Plaza,1.5593699634645936e-07
Xchange At Secaucus Junction,1.482308469113899e-07
Observer Park Apartments,1.5281974077985055e-07
"Charie Properties, LLC",1.5228010410004496e-07
Vermella Lyndhurst,1.4156568345804432e-07
Tahar Décor,1.4339169072510695e-07
The Oyster at Edgewater Harbor,1.38617503301017e-07
16 Bennett,1.5225590060899405e-07
Avalon Midtown West,1.4648429147049589e-07
Gold Street Lofts,1.5901329716279061e-07
Aurora,1.478161283174807e-07
The Regent At Liberty Harbor,1.5758828531314368e-07
20 Broad,1.586875488039846e-07
50 Rector Park,1.5558309762151162e-07
The Grande at Metro Park,2.1233133121762688e-07
Joanna Mayfield Marks - Brown Harris Stevens,1.6520938631551896e-07
The Cole Apartments,1.421906573744738e-07
110 Green Street,1.5162972898493863e-07
800 Sixth,1.4991064268760808e-07
ACR Pro Contractors,1.6629888671355782e-07
Windsor at Mariners,1.341490533416261e-07
